"","submit_date","APWR","ABWR","HTGR","MSR","LFR","iPWR","Industrial","Hydrogen","Desalination","Synthetic","Motive","Ammonia","SMR_deployment_dates","Technology","Safety","Burnup","Waste","Clean","Cost","Cooling","Distributed","Agenda","Network","Applications","Research","Science","Investment","Capacity","Knowledge","Organizations","Education","Compliance","Risks","Impacts","Reduction","Attraction","Savings","Assurance","Sufficient","Development","Methods","Compactification","Planning","Nonproliferation","Frameworks","Leadership","Interaction","Relations","Ecosystem","Technetium","Catalysts","Commercial","Sources","Devices","Actinides","group"
"11",2025-02-10 10:46:30.759,4,2,4,2,2,2,4,4,3,2,3,3,"2035 - 2040",4,4,3,3,3,4,4,4,2,2,2,2,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,"junior"
"12",2025-02-10 11:34:05.294,5,4,1,3,1,4,5,3,1,3,4,3,"2035 - 2040",5,4,4,4,4,5,3,5,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,2,3,2,2,3,2,3,3,3,0,3,2,3,3,3,4,3,5,3,"junior"
"13",2025-02-10 11:51:02.315,4,2,4,4,2,NA,4,4,4,3,3,3,"2035 - 2040",4,4,2,4,5,5,3,4,1,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,3,2,3,3,2,3,3,2,4,"junior"
"14",2025-02-10 12:33:53.863,3,3,3,2,3,3,1,1,1,1,1,1,"2030 - 2035",1,1,1,1,1,1,1,1,2,2,3,3,2,3,0,1,2,2,2,1,1,1,3,3,3,3,2,2,3,2,1,2,1,2,1,1,4,4,4,4,4,2,"junior"
"15",2025-02-10 12:43:37.087,4,4,4,4,2,4,4,4,4,4,4,3,"2040 - 2045",4,4,3,4,4,5,4,4,1,2,3,2,2,2,3,3,3,2,3,3,3,2,2,3,2,2,2,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,"junior"
"16",2025-02-10 14:03:18.952,4,2,4,3,2,2,4,4,2,2,4,2,"2035 - 2040",3,4,4,4,4,3,3,4,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,2,1,1,2,2,1,3,2,3,1,3,2,3,1,0,2,1,1,0,"junior"
"17",2025-02-10 15:41:26.65,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,"2030 - 2035",4,NA,NA,NA,4,NA,NA,4,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,5,5,5,"junior"
"18",2025-02-10 20:18:37.194,4,NA,NA,NA,NA,NA,4,3,4,3,4,3,"2045 - 2050",4,4,NA,NA,4,4,NA,4,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,NA,2,2,3,2,3,2,2,1,2,1,1,1,1,1,1,"junior"
"19",2025-02-11 08:40:31.568,4,2,4,2,3,4,4,4,3,4,3,3,"2030 - 2035",3,4,4,4,3,4,4,4,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,"junior"
"20",2025-02-13 14:18:15.857,5,4,5,2,3,5,5,5,3,4,5,3,"2035 - 2040",4,4,4,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,5,5,5,5,5,5,"junior"
"21",2025-02-13 14:29:46.507,5,2,3,4,3,5,4,5,4,3,3,4,"2040 - 2045",4,5,4,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,"junior"
"22",2025-02-13 14:34:11.392,5,3,4,4,4,5,4,4,5,2,4,2,"2040 - 2045",4,5,4,2,4,2,2,4,3,2,3,3,3,1,2,3,3,3,3,2,2,1,3,2,2,2,1,1,0,2,1,2,2,2,2,3,3,3,1,4,4,1,"junior"
"23",2025-02-13 14:48:36.418,4,2,2,3,2,4,3,4,3,3,3,3,"SMRs will not be deployed in Türkiye",2,3,4,4,4,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,3,4,3,3,3,3,"junior"
"24",2025-02-18 15:43:41.782,4,2,3,4,4,3,4,3,3,4,4,2,"2030 - 2035",4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,1,2,2,"junior"
"25",2025-02-18 19:22:33.041,5,2,1,4,4,4,4,3,5,2,5,3,"2030 - 2035",5,4,3,4,4,5,1,2,2,2,2,3,3,1,3,3,3,2,3,1,2,3,2,2,2,3,3,3,1,3,3,3,0,3,2,3,2,4,5,4,1,3,"junior"
"26",2025-02-19 11:08:55.556,5,5,4,3,5,4,4,4,4,3,5,4,"2035 - 2040",4,3,4,5,3,5,3,4,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,4,4,4,4,3,"junior"
"27",2025-02-19 16:05:14.739,5,3,5,4,3,3,5,5,3,3,5,3,"2030 - 2035",5,5,5,3,5,5,3,5,2,2,3,2,2,3,3,3,NA,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,4,5,3,1,5,"junior"
"28",2025-02-19 16:06:07.839,5,5,5,5,3,3,4,5,4,3,5,3,"2030 - 2035",4,5,5,4,5,5,4,4,3,3,3,2,1,3,3,3,2,2,3,3,1,3,3,1,1,3,3,3,3,3,3,3,3,2,2,2,3,3,5,5,4,5,"junior"
"29",2025-02-19 16:34:33.667,4,2,2,3,2,2,3,3,3,3,4,3,"SMRs will not be deployed in Türkiye",5,5,3,3,5,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,2,4,5,3,4,1,3,"junior"
"30",2025-02-19 16:42:02.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"junior"
"31",2025-02-19 19:03:41.189,5,5,3,5,3,3,5,3,5,2,4,5,"2035 - 2040",5,4,3,5,5,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,4,3,2,"junior"
"32",2025-02-19 19:38:57.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"junior"
"33",2025-02-19 19:54:52.6,5,5,3,1,3,5,3,5,4,3,3,3,"2045 - 2050",5,5,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,"junior"
"34",2025-02-19 20:00:28.968,5,5,4,4,5,2,5,5,5,5,5,5,"2040 - 2045",5,5,4,5,5,5,5,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,"junior"
"35",2025-02-19 20:18:28.517,5,4,2,3,2,3,4,3,3,2,4,2,"2035 - 2040",3,3,5,3,5,4,3,3,2,3,2,2,3,2,3,2,2,3,3,3,3,3,2,2,2,2,3,2,3,2,1,3,1,2,3,2,3,4,3,5,5,5,"junior"
"36",2025-02-19 20:26:37.468,5,4,4,5,3,4,4,4,3,4,5,3,"2045 - 2050",5,5,3,3,3,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,2,2,3,2,2,2,2,2,2,"junior"
"37",2025-02-19 21:24:55.206,5,4,2,2,2,3,5,5,5,3,4,3,"2040 - 2045",4,4,3,2,4,4,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,1,3,3,3,2,2,3,3,3,4,3,5,4,3,"junior"
"38",2025-02-19 21:24:56.362,5,5,3,2,2,3,5,4,4,3,3,3,"SMRs will not be deployed in Türkiye",5,5,4,4,5,5,5,5,3,3,3,3,3,3,2,3,3,2,3,3,3,1,3,3,3,2,3,3,1,3,3,3,2,2,3,2,3,3,3,3,4,4,"junior"
"39",2025-02-19 23:06:29.563,4,3,4,4,2,3,4,4,3,3,5,3,"2035 - 2040",5,5,3,3,3,5,3,5,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,3,2,3,3,3,2,3,3,3,2,4,3,4,2,3,"junior"
"40",2025-02-19 23:10:28.004,5,NA,NA,NA,NA,5,5,4,4,3,5,5,"SMRs will not be deployed in Türkiye",4,NA,NA,NA,NA,4,NA,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,5,2,4,"junior"
"41",2025-02-19 23:19:34.304,4,3,4,3,3,5,5,4,3,2,3,5,"2040 - 2045",4,4,4,5,3,5,3,3,2,2,1,3,3,3,3,3,2,3,3,3,3,3,2,3,2,1,3,2,3,2,3,3,2,3,3,3,4,3,5,4,4,4,"junior"
"42",2025-02-20 00:48:55.097,NA,NA,4,4,NA,NA,4,NA,NA,4,NA,NA,"2050 and after",4,NA,NA,4,NA,5,4,NA,2,2,2,2,3,3,2,2,3,3,3,2,2,2,2,2,3,2,2,2,1,2,3,3,2,3,2,2,NA,NA,NA,NA,NA,NA,"junior"
"43",2025-02-20 10:09:52.776,4,4,3,3,3,3,4,4,3,3,3,3,"2035 - 2040",2,5,3,5,2,5,3,3,2,2,1,3,3,2,2,2,1,3,3,0,2,3,1,2,2,3,1,1,1,1,1,3,2,2,2,3,1,2,4,3,1,0,"junior"
"44",2025-02-20 11:24:52.911,5,4,3,4,4,3,4,4,3,3,5,3,"2035 - 2040",4,5,4,3,4,4,5,3,3,2,3,NA,3,3,3,2,3,2,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,NA,NA,4,4,NA,4,NA,"junior"
"45",2025-02-20 14:40:10.489,3,2,5,5,3,2,4,5,3,4,3,3,"2030 - 2035",2,4,2,4,5,4,3,5,2,1,3,2,2,2,2,1,1,2,3,1,1,1,2,1,2,1,2,1,1,3,2,2,1,3,0,2,3,3,2,4,3,1,"junior"
"46",2025-02-20 15:58:17.637,4,4,3,5,3,4,3,3,3,3,3,3,"2045 - 2050",3,4,4,4,4,4,3,4,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"junior"
"47",2025-02-20 16:20:06.968,5,4,4,5,4,4,4,4,3,3,3,3,"2040 - 2045",3,4,4,4,4,3,4,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,2,2,3,2,3,3,3,3,3,4,4,3,4,"junior"
"48",2025-02-20 16:23:41.584,5,4,5,5,4,5,4,5,4,5,4,4,"2045 - 2050",5,5,4,5,4,5,5,4,3,3,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,3,2,2,3,3,3,4,3,5,5,4,4,"junior"
"49",2025-02-20 19:20:37.257,3,3,4,4,2,3,3,3,4,4,3,3,"2035 - 2040",4,4,4,3,2,4,4,4,3,3,1,1,1,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,"junior"
"50",2025-02-20 21:24:54.317,5,4,2,4,3,2,5,5,5,4,4,3,"2035 - 2040",5,4,3,3,5,5,3,5,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,4,5,3,3,"junior"
"51",2025-02-20 23:05:26.272,NA,5,NA,5,NA,NA,4,NA,NA,NA,4,NA,"2030 - 2035",NA,4,NA,4,NA,4,NA,NA,0,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,3,"junior"
"52",2025-02-20 23:18:01.037,4,3,5,3,3,3,5,4,4,3,3,3,"2030 - 2035",4,4,3,3,2,5,3,2,3,3,1,1,1,2,1,2,2,3,2,1,1,3,1,1,1,2,1,0,0,1,1,2,3,2,1,3,NA,NA,3,3,NA,NA,"junior"
"53",2025-02-20 23:43:51.929,4,3,5,3,3,3,5,4,4,3,3,3,"2030 - 2035",4,4,3,2,2,5,3,2,3,3,1,1,2,2,1,2,2,3,2,1,1,3,2,1,2,2,1,1,1,1,1,2,3,3,1,2,NA,NA,3,3,NA,NA,"junior"
"54",2025-02-20 23:58:47.512,5,5,3,5,3,3,5,3,5,3,5,3,"2040 - 2045",5,5,3,3,5,5,3,5,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,0,3,3,3,3,3,3,3,1,1,5,1,1,1,"junior"
"55",2025-02-21 00:03:46.281,5,5,4,4,4,3,4,4,4,3,4,2,"2050 and after",2,4,2,4,2,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,2,3,2,1,3,3,3,3,3,3,2,4,5,4,4,4,4,"junior"
"56",2025-02-22 05:07:42.166,2,3,5,5,3,4,3,4,3,4,3,2,"2035 - 2040",3,3,3,3,5,4,2,3,2,2,3,1,2,3,2,2,3,2,3,3,3,2,2,3,1,2,2,3,2,3,3,2,2,2,3,2,1,3,5,4,1,2,"junior"
"57",2025-02-22 17:40:53.682,4,4,4,4,3,3,4,4,2,4,3,3,"2050 and after",4,4,4,4,4,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,2,2,3,3,3,NA,NA,NA,NA,NA,NA,"junior"
"58",2025-02-24 14:21:17.738,5,2,4,5,3,5,5,5,2,5,3,4,"2035 - 2040",5,5,2,3,5,5,5,3,2,3,3,3,3,3,3,2,2,3,3,3,2,3,2,0,3,3,2,3,2,3,2,3,3,3,3,3,3,4,5,3,2,3,"junior"
"59",2025-02-25 01:51:48.231,5,2,2,1,1,4,4,4,5,1,2,3,"2030 - 2035",5,5,4,2,4,5,4,3,2,2,1,3,3,3,3,3,2,1,3,3,2,3,2,2,2,2,2,3,3,3,3,3,2,3,3,2,2,3,4,5,1,4,"junior"
"60",2025-02-26 10:50:26.068,4,4,3,3,4,NA,4,3,4,3,3,2,"2030 - 2035",4,4,4,4,4,4,2,4,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,"junior"
"61",2025-02-28 14:16:55.563,5,4,3,3,2,3,5,4,3,4,5,2,"2035 - 2040",5,5,3,4,2,5,4,5,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,4,3,4,"junior"
"62",2025-02-28 14:32:41.665,5,5,2,2,2,2,4,4,3,3,3,3,"SMRs will not be deployed in Türkiye",4,3,4,2,3,5,3,4,2,2,1,3,3,1,1,2,1,3,3,3,3,3,1,2,3,1,3,1,2,1,2,2,1,2,1,3,3,2,4,4,2,5,"junior"
